observation_date,A997RC1A027NBEA_20240125
1929-01-01,1.001
1930-01-01,1.003
1931-01-01,0.972
1932-01-01,0.949
1933-01-01,0.879
1934-01-01,0.806
1935-01-01,1.047
1936-01-01,1.111
1937-01-01,1.096
1938-01-01,1.167
1939-01-01,1.312
1940-01-01,1.954
1941-01-01,7.958
1942-01-01,27.126
1943-01-01,48.718
1944-01-01,60.516
1945-01-01,60.797
1946-01-01,25.253
1947-01-01,18.917
1948-01-01,17.639
1949-01-01,18.072
1950-01-01,18.985
1951-01-01,33.041
1952-01-01,42.159
1953-01-01,44.192
1954-01-01,39.824
1955-01-01,39.388
1956-01-01,40.908
1957-01-01,44.577
1958-01-01,45.983
1959-01-01,42.007
1960-01-01,42.624
1961-01-01,44.179
1962-01-01,48.557
1963-01-01,50.516
1964-01-01,51.389
1965-01-01,53.915
1966-01-01,63.755
1967-01-01,73.724
1968-01-01,81.428
1969-01-01,82.612
1970-01-01,81.778
1971-01-01,82.344
1972-01-01,84.434
1973-01-01,84.868
1974-01-01,89.526
1975-01-01,95.338
1976-01-01,99.333
1977-01-01,106.480
1978-01-01,115.136
1979-01-01,125.740
1980-01-01,143.227
1981-01-01,165.134
1982-01-01,187.222
1983-01-01,202.286
1984-01-01,217.700
1985-01-01,234.079
1986-01-01,248.952
1987-01-01,261.624
1988-01-01,276.648
1989-01-01,286.056
1990-01-01,297.680
1991-01-01,312.731
1992-01-01,309.293
1993-01-01,302.427
1994-01-01,296.339
1995-01-01,292.194
1996-01-01,292.254
1997-01-01,293.010
1998-01-01,289.497
1999-01-01,301.766
2000-01-01,309.155
2001-01-01,325.495
2002-01-01,358.518
2003-01-01,411.179
2004-01-01,448.923
2005-01-01,477.972
2006-01-01,501.268
2007-01-01,528.119
2008-01-01,583.201
2009-01-01,614.309
2010-01-01,651.766
2011-01-01,661.984
2012-01-01,650.338
2013-01-01,610.279
2014-01-01,597.106
2015-01-01,584.428
2016-01-01,586.498
2017-01-01,599.358
2018-01-01,633.618
2019-01-01,676.677
2020-01-01,697.519
2021-01-01,709.095
2022-01-01,726.008
2023-01-01,777.077