observation_date,A997RC1Q027SBEA_20240125
1947-01-01,20.950
1947-04-01,19.342
1947-07-01,17.565
1947-10-01,17.810
1948-01-01,17.675
1948-04-01,17.323
1948-07-01,17.504
1948-10-01,18.055
1949-01-01,18.388
1949-04-01,18.331
1949-07-01,18.072
1949-10-01,17.497
1950-01-01,17.595
1950-04-01,17.659
1950-07-01,18.931
1950-10-01,21.755
1951-01-01,27.074
1951-04-01,31.143
1951-07-01,36.056
1951-10-01,37.890
1952-01-01,38.848
1952-04-01,42.045
1952-07-01,43.134
1952-10-01,44.610
1953-01-01,44.361
1953-04-01,44.206
1953-07-01,43.669
1953-10-01,44.533
1954-01-01,41.427
1954-04-01,40.000
1954-07-01,39.450
1954-10-01,38.417
1955-01-01,39.295
1955-04-01,38.572
1955-07-01,40.207
1955-10-01,39.479
1956-01-01,39.631
1956-04-01,41.407
1956-07-01,40.721
1956-10-01,41.874
1957-01-01,43.492
1957-04-01,44.712
1957-07-01,45.024
1957-10-01,45.079
1958-01-01,45.365
1958-04-01,46.051
1958-07-01,46.299
1958-10-01,46.217
1959-01-01,42.349
1959-04-01,41.394
1959-07-01,42.051
1959-10-01,42.233
1960-01-01,41.592
1960-04-01,41.868
1960-07-01,43.314
1960-10-01,43.720
1961-01-01,43.306
1961-04-01,43.484
1961-07-01,44.365
1961-10-01,45.562
1962-01-01,47.818
1962-04-01,48.056
1962-07-01,49.018
1962-10-01,49.337
1963-01-01,49.823
1963-04-01,49.564
1963-07-01,50.609
1963-10-01,52.067
1964-01-01,51.526
1964-04-01,50.967
1964-07-01,52.003
1964-10-01,51.060
1965-01-01,50.994
1965-04-01,51.771
1965-07-01,54.366
1965-10-01,58.531
1966-01-01,59.522
1966-04-01,61.806
1966-07-01,66.271
1966-10-01,67.420
1967-01-01,70.995
1967-04-01,72.961
1967-07-01,74.545
1967-10-01,76.397
1968-01-01,80.116
1968-04-01,81.422
1968-07-01,81.534
1968-10-01,82.640
1969-01-01,80.073
1969-04-01,81.983
1969-07-01,83.616
1969-10-01,84.777
1970-01-01,83.231
1970-04-01,80.826
1970-07-01,81.533
1970-10-01,81.523
1971-01-01,83.550
1971-04-01,82.349
1971-07-01,80.965
1971-10-01,82.513
1972-01-01,85.721
1972-04-01,85.901
1972-07-01,82.422
1972-10-01,83.692
1973-01-01,84.506
1973-04-01,84.977
1973-07-01,83.547
1973-10-01,86.443
1974-01-01,87.159
1974-04-01,89.032
1974-07-01,89.126
1974-10-01,92.788
1975-01-01,93.941
1975-04-01,94.280
1975-07-01,95.527
1975-10-01,97.606
1976-01-01,97.699
1976-04-01,99.112
1976-07-01,98.905
1976-10-01,101.617
1977-01-01,103.725
1977-04-01,105.582
1977-07-01,107.469
1977-10-01,109.144
1978-01-01,111.383
1978-04-01,114.585
1978-07-01,116.987
1978-10-01,117.589
1979-01-01,121.545
1979-04-01,125.322
1979-07-01,125.561
1979-10-01,130.534
1980-01-01,135.841
1980-04-01,142.679
1980-07-01,144.354
1980-10-01,150.036
1981-01-01,156.564
1981-04-01,162.886
1981-07-01,166.507
1981-10-01,174.577
1982-01-01,179.775
1982-04-01,184.140
1982-07-01,190.542
1982-10-01,194.430
1983-01-01,197.027
1983-04-01,200.999
1983-07-01,203.324
1983-10-01,207.793
1984-01-01,210.763
1984-04-01,214.987
1984-07-01,218.872
1984-10-01,226.177
1985-01-01,225.353
1985-04-01,229.309
1985-07-01,238.508
1985-10-01,243.148
1986-01-01,242.318
1986-04-01,250.355
1986-07-01,254.975
1986-10-01,248.160
1987-01-01,254.064
1987-04-01,259.883
1987-07-01,264.424
1987-10-01,268.127
1988-01-01,272.631
1988-04-01,274.421
1988-07-01,274.608
1988-10-01,284.932
1989-01-01,277.008
1989-04-01,287.868
1989-07-01,288.704
1989-10-01,290.645
1990-01-01,295.987
1990-04-01,298.244
1990-07-01,293.220
1990-10-01,303.268
1991-01-01,314.858
1991-04-01,313.561
1991-07-01,313.995
1991-10-01,308.508
1992-01-01,306.424
1992-04-01,304.134
1992-07-01,314.287
1992-10-01,312.328
1993-01-01,302.899
1993-04-01,299.530
1993-07-01,303.004
1993-10-01,304.277
1994-01-01,293.616
1994-04-01,294.119
1994-07-01,304.429
1994-10-01,293.191
1995-01-01,293.020
1995-04-01,295.041
1995-07-01,294.101
1995-10-01,286.615
1996-01-01,287.516
1996-04-01,294.151
1996-07-01,292.434
1996-10-01,294.913
1997-01-01,287.152
1997-04-01,298.355
1997-07-01,290.826
1997-10-01,295.708
1998-01-01,279.961
1998-04-01,291.300
1998-07-01,292.757
1998-10-01,293.970
1999-01-01,292.392
1999-04-01,294.233
1999-07-01,303.889
1999-10-01,316.550
2000-01-01,299.905
2000-04-01,316.318
2000-07-01,309.014
2000-10-01,311.382
2001-01-01,319.892
2001-04-01,322.665
2001-07-01,327.391
2001-10-01,332.032
2002-01-01,347.653
2002-04-01,353.733
2002-07-01,356.245
2002-10-01,376.442
2003-01-01,388.513
2003-04-01,413.355
2003-07-01,413.411
2003-10-01,429.437
2004-01-01,440.971
2004-04-01,444.281
2004-07-01,456.362
2004-10-01,454.076
2005-01-01,470.940
2005-04-01,474.664
2005-07-01,483.243
2005-10-01,483.039
2006-01-01,499.847
2006-04-01,499.046
2006-07-01,495.156
2006-10-01,511.021
2007-01-01,510.041
2007-04-01,521.666
2007-07-01,532.293
2007-10-01,548.475
2008-01-01,563.706
2008-04-01,574.889
2008-07-01,595.613
2008-10-01,598.595
2009-01-01,595.713
2009-04-01,608.989
2009-07-01,618.197
2009-10-01,634.338
2010-01-01,642.877
2010-04-01,650.975
2010-07-01,653.542
2010-10-01,659.670
2011-01-01,657.910
2011-04-01,669.658
2011-07-01,663.256
2011-10-01,657.110
2012-01-01,658.331
2012-04-01,649.853
2012-07-01,656.094
2012-10-01,637.072
2013-01-01,619.372
2013-04-01,617.715
2013-07-01,603.501
2013-10-01,600.528
2014-01-01,600.108
2014-04-01,594.002
2014-07-01,607.959
2014-10-01,586.354
2015-01-01,586.342
2015-04-01,586.393
2015-07-01,581.223
2015-10-01,583.753
2016-01-01,580.413
2016-04-01,580.373
2016-07-01,591.534
2016-10-01,593.671
2017-01-01,591.452
2017-04-01,598.861
2017-07-01,598.113
2017-10-01,609.007
2018-01-01,615.781
2018-04-01,627.757
2018-07-01,641.075
2018-10-01,649.858
2019-01-01,659.979
2019-04-01,677.352
2019-07-01,682.495
2019-10-01,686.880
2020-01-01,697.087
2020-04-01,688.698
2020-07-01,693.900
2020-10-01,710.393
2021-01-01,711.757
2021-04-01,710.684
2021-07-01,709.760
2021-10-01,704.180
2022-01-01,705.434
2022-04-01,723.197
2022-07-01,731.845
2022-10-01,743.556
2023-01-01,759.968
2023-04-01,764.862
2023-07-01,789.060
2023-10-01,794.420